x,1,2,3,4,5,6,7,8,9,10,F
0.958407,3.935850,-0.601576,-0.253282,0.511540,-0.386002,0.073586,0.192327,-0.257257,0.124838,0.071218,0.121375
1.058407,3.704195,-0.335310,-0.466609,0.558953,-0.247026,-0.133263,0.293022,-0.168470,-0.071513,0.199304,0.043416
1.158407,3.435529,-0.055677,-0.638254,0.518120,-0.047569,-0.293558,0.255903,0.022509,-0.213745,0.144150,-0.162460
1.258407,3.132536,0.226176,-0.752886,0.395486,0.163534,-0.351306,0.098430,0.199834,-0.194219,-0.043534,-0.415817
1.358407,2.798243,0.499012,-0.800265,0.210414,0.334599,-0.286332,-0.105337,0.255942,-0.027712,-0.191194,-0.602497
1.458407,2.435992,0.751954,-0.776159,-0.007877,0.423741,-0.121334,-0.259562,0.156800,0.159767,-0.163071,-0.689618
1.558407,2.049401,0.974918,-0.682721,-0.224925,0.409138,0.086049,-0.291711,-0.037456,0.226337,0.014979,-0.765860
1.658407,1.642333,1.159015,-0.528297,-0.406463,0.294363,0.263373,-0.186664,-0.208991,0.121620,0.179257,-0.960323
1.758407,1.218856,1.296905,-0.326683,-0.523828,0.107517,0.348693,0.006174,-0.253755,-0.075137,0.178727,-1.312398
1.858407,0.783200,1.383093,-0.095886,-0.558493,-0.105652,0.312205,0.196109,-0.144595,-0.215031,0.013876,-1.721043
1.958407,0.339718,1.414140,0.143476,-0.504984,-0.292954,0.166654,0.293810,0.052275,-0.192195,-0.163732,-2.033659
2.058407,-0.107157,1.388811,0.370021,-0.371749,-0.408530,-0.037113,0.253328,0.217435,-0.023909,-0.190806,-2.199538
2.158407,-0.552962,1.308114,0.563514,-0.179823,-0.424085,-0.227916,0.093702,0.250702,0.162471,-0.042454,-2.338607
2.258407,-0.993243,1.175266,0.706669,0.040493,-0.335808,-0.339101,-0.109994,0.131897,0.225896,0.144930,-2.642864
2.358407,-1.423598,0.995565,0.786700,0.254416,-0.165314,-0.331829,-0.261958,-0.066916,0.118367,0.199066,-3.185369
2.458407,-1.839730,0.776173,0.796457,0.428172,0.045655,-0.208639,-0.290719,-0.225138,-0.078739,0.070181,-3.816194
2.558407,-2.237480,0.525838,0.735070,0.534330,0.245446,-0.012565,-0.182750,-0.246794,-0.216257,-0.123228,-4.268260
2.658407,-2.612874,0.254539,0.608020,0.556128,0.385143,0.187898,0.011169,-0.118749,-0.190116,-0.203342,-4.412052
2.758407,-2.962160,-0.026907,0.426658,0.490127,0.430544,0.322723,0.199835,0.081328,-0.020099,-0.096504,-4.444325
2.858407,-3.281850,-0.307281,0.207184,0.346744,0.370532,0.344811,0.294515,0.232073,0.165129,0.099059,-4.818952
2.958407,-3.568749,-0.575404,-0.030797,0.148619,0.219802,0.246447,0.250681,0.242045,0.225390,0.203548,-5.928287
3.058407,-3.819990,-0.820588,-0.266027,-0.072970,0.015256,0.061992,0.088947,0.105196,0.115081,0.120896,-7.762075
3.141593,-4.000000,-1.000000,-0.444444,-0.250000,-0.160000,-0.111111,-0.081633,-0.062500,-0.049383,-0.040000,-9.488939
