x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,F
1.158407,1.374062,2.091837,-0.839876,0.039339,0.282173,-0.174560,-0.041162,0.123452,-0.053289,-0.044409,0.065093,-0.013005,-0.037723,0.035627,0.003456,-0.029712,0.018407,0.010315,-0.022157,0.007674,0.012558,-0.015514,0.000909,0.012367,-0.009906,-2.783779
1.258407,0.555459,2.207103,-0.716341,-0.157872,0.319987,-0.066422,-0.133263,0.100076,0.032013,-0.079987,0.019203,0.045629,-0.037646,-0.013571,0.035543,-0.008811,-0.022874,0.019503,0.007553,-0.019987,0.004961,0.013740,-0.011863,-0.004849,0.012787,-3.479666
1.358407,-0.268694,2.234379,-0.528818,-0.330158,0.279457,0.064920,-0.162689,0.015995,0.093088,-0.042026,-0.047673,0.046073,0.017582,-0.040241,0.001573,0.030227,-0.012512,-0.019177,0.017273,0.008961,-0.017567,-0.000658,0.014898,-0.005215,-0.010584,-4.241321
1.458407,-1.090162,2.172577,-0.294058,-0.450320,0.170507,0.173583,-0.115599,-0.077788,0.083716,0.034574,-0.062451,-0.012239,0.047053,-0.000108,-0.035321,0.007046,0.026099,-0.010789,-0.018721,0.012529,0.012776,-0.012966,-0.007990,0.012541,0.004170,-5.011077
1.558407,-1.900737,2.024162,-0.033030,-0.499386,0.019810,0.221609,-0.014141,-0.124387,0.010990,0.079387,-0.008982,-0.054943,0.007591,0.040204,-0.006569,-0.030638,0.005787,0.024080,-0.005168,-0.019389,0.004667,0.015919,-0.004251,-0.013279,0.003901,-5.836533
1.658407,-2.692321,1.795049,0.230949,-0.469610,-0.135737,0.192220,0.093967,-0.095534,-0.070054,0.051212,0.054302,-0.027579,-0.042991,0.013775,0.034391,-0.005257,-0.027590,-0.000153,0.022063,0.003609,-0.017488,-0.005771,0.013655,0.007044,-0.010422,-6.668007
1.758407,-3.457004,1.494373,0.474297,-0.365693,-0.258051,0.095683,0.157882,-0.008731,-0.098082,-0.024047,0.058245,0.034956,-0.030591,-0.035521,0.011435,0.030945,0.001323,-0.024010,-0.009097,0.016386,0.012991,-0.009127,-0.013945,0.002892,0.012797,-7.509433
1.858407,-4.187146,1.134122,0.675278,-0.204041,-0.317185,-0.034278,0.147542,0.083367,-0.051884,-0.077197,-0.001463,0.052912,0.026625,-0.025850,-0.032773,0.003450,0.027249,0.011064,-0.016181,-0.017246,0.004371,0.016513,0.004927,-0.011308,-0.010083,-8.378952
1.958407,-4.875451,0.728657,0.815938,-0.010175,-0.298661,-0.152265,0.067810,0.124896,0.033579,-0.059372,-0.059572,0.003390,0.044836,0.026734,-0.016072,-0.031147,-0.008344,0.018983,0.019560,-0.002032,-0.017404,-0.010309,0.007379,0.013785,0.003359,-9.211634
2.058407,-5.515043,0.294142,0.883713,0.185297,-0.207014,-0.217062,-0.043813,0.090665,0.093630,0.013039,-0.052580,-0.050455,-0.002638,0.034938,0.030500,-0.001631,-0.025099,-0.019690,0.003534,0.018937,0.013202,-0.004379,-0.014760,-0.009023,0.004701,-10.076623
2.158407,-6.099530,-0.152099,0.872549,0.351514,-0.064683,-0.206032,-0.134830,0.001438,0.082824,0.073463,0.011872,-0.039956,-0.046247,-0.014858,0.020386,0.031242,0.014812,-0.010036,-0.021845,-0.013730,0.004074,0.015463,0.012290,-0.000479,-0.010891,-10.903026
2.258407,-6.623072,-0.592276,0.783442,0.462236,0.093484,-0.123030,-0.162435,-0.088662,0.009338,0.066345,0.063350,0.021499,-0.022104,-0.039988,-0.027616,-0.000194,0.021282,0.024250,0.010590,-0.007510,-0.017316,-0.013821,-0.001616,0.009729,0.012750,-11.721082
2.358407,-7.080439,-1.008842,0.624353,0.499980,0.228764,0.002950,-0.113644,-0.124980,-0.071215,-0.001770,0.045599,0.055536,0.034421,0.001264,-0.024293,-0.031230,-0.020296,-0.000983,0.014997,0.019980,0.013409,0.000804,-0.010136,-0.013869,-0.009538,-12.548912
2.458407,-7.467060,-1.385187,0.409492,0.458789,0.308034,0.127900,-0.011404,-0.085487,-0.097873,-0.068258,-0.021983,0.018749,0.040519,0.040418,0.024179,0.002018,-0.016052,-0.023803,-0.020287,-0.009119,0.003777,0.012874,0.015123,0.010725,0.002532,-13.311122
2.558407,-7.779073,-1.706310,0.158053,0.345165,0.311886,0.208171,0.096199,0.005861,-0.050463,-0.071989,-0.065542,-0.041948,-0.012744,0.012475,0.027714,0.031113,0.024433,0.011799,-0.001880,-0.012390,-0.017223,-0.015958,-0.010016,-0.001948,0.005481,-14.128872
2.658407,-8.013360,-1.959408,-0.107505,0.177047,0.239378,0.215721,0.158558,0.093654,0.035136,-0.009534,-0.037476,-0.049150,-0.047337,-0.036177,-0.020258,-0.003835,0.009756,0.018441,0.021503,0.019432,0.013613,0.005908,-0.001776,-0.007852,-0.011313,-14.876570
2.758407,-8.167581,-2.134390,-0.363460,-0.019023,0.108262,0.147914,0.146345,0.124638,0.094145,0.061686,0.031544,0.006329,-0.012582,-0.024773,-0.030580,-0.030889,-0.026947,-0.020179,-0.012023,-0.003783,0.003478,0.009004,0.012382,0.013528,0.012647,-15.654042
2.858407,-8.240193,-2.224281,-0.586948,-0.212090,-0.049360,0.028436,0.065304,0.080018,0.081907,0.076193,0.066092,0.053736,0.040606,0.027756,0.015932,0.005638,-0.002812,-0.009272,-0.013729,-0.016284,-0.017124,-0.016506,-0.014724,-0.012099,-0.008950,-16.462490
2.958407,-8.230473,-2.225497,-0.758006,-0.371672,-0.194898,-0.100975,-0.046451,-0.013140,0.007683,0.020648,0.028415,0.032615,0.034306,0.034208,0.032834,0.030559,0.027671,0.024393,0.020900,0.017335,0.013813,0.010423,0.007239,0.004315,0.001694,-17.171796
3.058407,-8.138516,-2.137989,-0.861353,-0.472575,-0.292718,-0.195113,-0.136359,-0.098327,-0.072355,-0.053881,-0.040315,-0.030100,-0.022253,-0.016127,-0.011286,-0.007423,-0.004319,-0.001812,0.000215,0.001856,0.003178,0.004238,0.005078,0.005735,0.006236,-18.146021
3.141593,-8.000000,-2.000000,-0.888889,-0.500000,-0.320000,-0.222222,-0.163265,-0.125000,-0.098765,-0.080000,-0.066116,-0.055556,-0.047337,-0.040816,-0.035556,-0.031250,-0.027682,-0.024691,-0.022161,-0.020000,-0.018141,-0.016529,-0.015123,-0.013889,-0.012800,-18.425523
